QUESTION,TIME,ANSWER,LLM_ANSWER,COMPLETION_TOKENS,PROMPT_TOKENS,TOTAL_TOKENS
I want the index constituents for dowjones from fmp provider,1.9422023296356201,obb_index_constituents,obb_equity_search,104,1162,1266
I want the available indices from fmp provider,3.158613681793213,obb_index_available,,153,2010,2163
I want global news data for financial topics from benzinga provider,3.8036727905273438,obb_news_world,obb_equity_discovery_filings,204,1500,1704
I want the last 100 global news and their full articles from benzinga provider,0,obb_news_world,,0,0,0
I want global news data from the source bloomberg from the tiingo provider,3.7332684993743896,obb_news_world,,207,2124,2331
"I want the news related to AAPL, GOOGL, MSFT and TSLA from benzinga provider",2.0445573329925537,obb_news_company,obb_equity_search,100,1022,1122
I want the news related to AAPL from 2024-02-01 to 2024-02-07 from intrino provider,2.458469867706299,obb_news_company,obb_equity_search,86,1210,1296
I want the headlines of news related to AAPL from benzinga provider,1.9926488399505615,obb_news_company,obb_equity_search,88,1004,1092
I want news related to GS and DIS from fmp provider,2.400297164916992,obb_news_company,obb_equity_search,122,1420,1542
I want the news related to NVDA with ISIN number US0378331005 from benzinga provider,2.222006320953369,obb_news_company,obb_equity_search,104,1232,1336
I want the CIK of MSFT from sec provider,2.1707544326782227,obb_regulators_sec_cik_map,obb_equity_search,118,1302,1420
I want information regarding blackstone real estate from sec provider,3.8634889125823975,obb_regulators_sec_institutions_search,obb_economy_gdp_real,195,2226,2421
I want the ticker symbol of the CIK 0000789019 from sec provider,3.089947462081909,obb_regulators_sec_symbol_map,obb_regulators_sec_symbol_map,162,1833,1995
I want litigation releases from sec provider,2.2500200271606445,obb_regulators_sec_rss_litigation,obb_equity_search,106,1336,1442
I want to do SIC search of real estate investment trusts from sec provider,1.925790548324585,obb_regulators_sec_sic_search,obb_equity_search,106,1352,1458
