QUESTION,PATHS,OUTPUT-FUNCTION
I want the European Central Bank Interest Rates based on the refinancing interest rate type,/fixedincome/rate/ecb,"obb.fixedincome.rate.ecb(interest_rate_type='refinancing', provider='fred')"
I want the ECB interest rate from 2023-01-01 to 2023-12-31 based on number of active banks from fred provider,/fixedincome/rate/ecb,"obb.fixedincome.rate.ecb(interest_rate_type='lending', provider='fred',start_date='2023-01-01',end_date='2023-12-31)"
I want the discount window primary credit rate from 2023-02-1 to 2023-05-01 from fred provider,/fixedincome/rate/dpcredit,"obb.fixedincome.rate.dpcredit(start_date='2023-02-01', end_date='2023-05-01', provider='fred')"
I want the weekly discount window credit rate from fred provider,/fixedincome/rate/dpcredit,"obb.fixedincome.rate.dpcredit(provider='fred',parameter='weekly')"
I want the treasury constant maturity rate with 2 year maturity from fred provider ,/fixedincome/spreads/tcm,"obb.fixedincome.spreads.tcm(maturity='2y', provider='fred')"
I want the treasury constant maturity rate with 3 months maturity from 2023-02-1 to 2023-05-01 from fred provider ,/fixedincome/spreads/tcm,"obb.fixedincome.spreads.tcm(start_date='2023-02-01', end_date='2023-05-01',maturity='3m', provider='fred')"
I want the treasury constant maturity minus the federal funds rate bearing maturity of 10 years from fred provider,/fixedincome/spreads/tcm_effr,"obb.fixedincome.spreads.tcm_effr(maturity='10y', provider='fred')"
I want the treasury constant maturity minus the federal funds rate bearing maturity of 3 months from 2023-02-1 to 2023-05-01 from fred provider,/fixedincome/spreads/tcm_effr,"obb.fixedincome.spreads.tcm_effr(maturity='3m', provider='fred',start_date='2023-02-01', end_date='2023-05-01)"
I wanted treasury bill rate for 6 months maturity from fred provider,/fixedincome/spreads/treasury_effr,"obb.fixedincome.spreads.treasury_effr(maturity='6m', provider='fred')"
I want US Yield curve adjusted by inflation for 2023-07-08 from fred provider,/fixedincome/government/us_yield_curve,"obb.fixedincome.government.us_yield_curve(inflation_adjusted=True, provider='fred',date='2023-07-08')"
I want government treasury rates from fred provider,/fixedincome/government/treasury_rates,obb.fixedincome.government.treasury_rates(provider='fred')
I want government treasury rates from 2022-06-02 to 2024-03-10 from fmp provider,/fixedincome/government/treasury_rates,"obb.fixedincome.government.treasury_rates(provider='fmp',start_date='2022-06-02',end_date='2024-03-10')"
I want the Bofa US corporate bond indices with index type yield to worst from fred provider,/fixedincome/corporate/ice_bofa,"obb.fixedincome.corporate.ice_bofa(index_type='yield_to_worst', provider='fred')"
I want AAA Bofa US corporate bonds from area asia including the options ,/fixedincome/corporate/ice_bofa,"obb.fixedincome.corporate.ice_bofa(index_type='yield', provider='fred',area='asia',grade='aaa',options=True)"
I want crossover ICE Bofa US corporate bonds in USD category ,/fixedincome/corporate/ice_bofa,"obb.fixedincome.corporate.ice_bofa(index_type='yield', provider='fred',category='usd',grade='crossover',options=False)"
I want Moody corporate Bond Index with BAA index type from fred provider,/fixedincome/corporate/moody,"obb.fixedincome.corporate.moody(index_type='baa', provider='fred')"
I want Moody corporate Bond Index with AAA index type and treasury spread from 2023-06-02 to 2024-03-12 from fred provider,/fixedincome/corporate/moody,"obb.fixedincome.corporate.moody(index_type='aaa', provider='fred',spread='treasury',start_date='2023-06-02',end_date='2024-03-12')"
I want High quality market corporate bond with par yield curve from fred provider,/fixedincome/corporate/hqm,"obb.fixedincome.corporate.hqm(yield_curve='par', provider='fred')"
I want HQM corporate bond for the date 2023-08-01 ,/fixedincome/corporate/hqm,"obb.fixedincome.corporate.hqm(date='2023-08-01', provider='fred')"
"I want spot rates with maturity 10, 20, 30 and 50 years from fred provider",/fixedincome/corporate/spot_rates,"obb.fixedincome.corporate.spot_rates(maturity='10,20,30,50', provider='fred')"
"I want spot rates with par yield category and maturity 10, 20, 30 and 50 years from fred provider",/fixedincome/corporate/spot_rates,"obb.fixedincome.corporate.spot_rates(maturity='10,20,30,50', provider='fred',category='par_yield')"
I want the commercial paper with overnight maturity from fred provider,/fixedincome/corporate/commercial_paper,"obb.fixedincome.corporate.commercial_paper(maturity='overnight', provider='fred')"
I want the asset backed category commerical papers with maturity of 15 days from fred provider,/fixedincome/corporate/commercial_paper,"obb.fixedincome.corporate.commercial_paper(maturity='15d', provider='fred',category='asset_backed')"
I want the nonfinancial commercial papers from 2023-06-02 to 2024-03-12 from fred provider,/fixedincome/corporate/commercial_paper,"obb.fixedincome.corporate.commercial_paper(start_date='2023-06-02',end_date='2024-03-12',provider='fred',category='nonfinancial')"
I want AA grade commerical papers with 90 days maturity ,/fixedincome/corporate/commercial_paper,"obb.fixedincome.corporate.commercial_paper(provider='fred',grade='aa')"
I want secure overnight financing rate (SOFR) from 2023-08-09 to 2024-02-01 ,/fixedincome/sofr,"obb.fixedincome.sofr(provider='fred',start_date='2023-08-09',end_date='2024-02-01')"
I want SOFR with a period of 180 days from fred provider,/fixedincome/sofr,"obb.fixedincome.sofr(provider='fred',period='180_day')"
I want historical price of the index ^GSPC from fmp provider,/index/price/historical,"obb.index.price.historical(symbol='^GSPC', provider='fmp')"
I want the last 5000 daily historical price of SPX from intrino,/index/price/historical,"obb.index.price.historical(symbol='SPX', provider='intrino',limit=5000,interval='1d')"
I want the historical price of ^DJI from 2021-03-10 to 2023-04-04 from polygon provider ,/index/price/historical,"obb.index.price.historical(symbol='^DJI', start_date='2021-03-10',end_date='2023-04-04',provider='polygon',interval='1d')"
I want historical price of the index ^N225 from yahoo finance provider,/index/price/historical,"obb.index.price.historical(symbol='^N225', provider='yfinance')"
I want the index constituents for dowjones from fmp provider,/index/constituents,"obb.index.constituents(symbol='dowjones', provider='fmp')"
I want the available indices from fmp provider,/index/available,obb.index.available(provider='fmp')
I want global news data for financial topics from benzinga provider,/news/world,"obb.news.world(topics='finance', provider='benzinga')"
I want the last 100 global news and their full articles from benzinga provider,/news/world,"obb.news.world(display='full',provider='benzinga')"
I want global news data from the source bloomberg from the tiingo provider,/news/world,"obb.news.world(provider='tiingo', source=bloomberg)"
"I want the news related to AAPL, GOOGL, MSFT and TSLA from benzinga provider",/news/company,"obb.news.company(symbol='AAPL,GOOGL,MSFT ',provider='benzinga')"
I want the news related to AAPL from 2024-02-01 to 2024-02-07 from intrino provider,/news/company,"obb.news.company(symbol='AAPL', start_date='2024-02-01', end_date='2024-02-07', provider='intrinio')"
I want the headlines of news related to AAPL from benzinga provider,/news/company,"obb.news.company(symbol='AAPL', display='headline', provider='benzinga')"
I want news related to GS and DIS from fmp provider,/news/company,"obb.news.company(symbol='GS,DIS', provider='fmp')"
I want the news related to NVDA with ISIN number US0378331005 from benzinga provider,/news/company,"obb.news.company(symbol='NVDA', isin='US0378331005', provider='benzinga')"
I want the CIK of MSFT from sec provider,/regulators/sec/cik_map,"obb.regulators.sec.cik_map(symbol='MSFT', provider='sec')"
I want information regarding blackstone real estate from sec provider,/regulators/sec/institutions_search,"obb.regulators.sec.institutions_search(query='blackstone real estate', provider='sec')"
I want the ticker symbol of the CIK 0000789019 from sec provider,/regulators/sec/symbol_map,"obb.regulators.sec.symbol_map(query='0000789019', provider='sec')"
I want litigation releases from sec provider,/regulators/sec/rss_litigation,obb.regulators.sec.rss_litigation(provider='sec')
I want to do SIC search of real estate investment trusts from sec provider,/regulators/sec/sic_search,"obb.regulators.sec.sic_search(query='real estate investment trusts', provider='sec')"
